customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,daily_charges,total_services_count
0048-pihnl,0,0,0,1,0,49,1,0,no,0,0,0,0,0,0,one_year,0,bank_transfer_automatic,20.45,900.9,0.67,1
0052-dckon,0,1,0,1,0,66,1,1,fiber_optic,1,1,1,1,1,1,one_year,0,bank_transfer_automatic,115.8,7942.15,3.8,9
0052-ynyot,0,0,0,0,0,67,1,0,no,0,0,0,0,0,0,one_year,0,electronic_check,20.55,1343.4,0.68,1
0056-epfbg,0,1,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two_year,1,credit_card_automatic,39.4,825.4,1.29,4
0057-qbuqh,0,0,0,0,1,43,1,1,no,0,0,0,0,0,0,two_year,1,electronic_check,25.1,1070.15,0.82,2
0058-evzwm,0,0,0,1,0,55,1,1,fiber_optic,1,0,0,0,1,0,month-to-month,1,bank_transfer_automatic,89.8,4959.6,2.95,5
0060-fualy,0,0,0,1,0,59,1,1,fiber_optic,1,1,0,0,1,0,month-to-month,1,electronic_check,94.75,5597.65,3.11,6
0064-sudog,0,0,0,1,1,12,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,20.3,224.5,0.67,1
0064-yijgf,0,1,0,1,1,27,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,75.75,1929.0,2.49,3
0067-dkwbl,1,1,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic_check,49.25,91.1,1.62,3
0068-figtf,0,0,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one_year,0,mailed_check,78.2,2078.95,2.57,7
0071-ndafp,0,1,0,1,1,25,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,25.5,630.6,0.84,2
0074-hdkdg,0,1,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one_year,1,bank_transfer_automatic,61.6,1611.0,2.02,5
0076-lveps,0,1,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month-to-month,1,mailed_check,45.0,1242.45,1.48,5
0078-xzmht,0,1,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two_year,1,bank_transfer_automatic,85.15,6316.2,2.8,8
0080-emyvy,0,0,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one_year,0,credit_card_automatic,51.45,727.85,1.69,3
0080-orozo,0,0,0,0,0,35,1,0,fiber_optic,0,0,1,1,1,1,one_year,1,electronic_check,99.25,3532.0,3.26,6
0082-ldzue,0,1,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed_check,44.3,44.3,1.46,2
0082-oqiqy,0,1,0,0,0,29,1,0,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic_check,94.2,2607.6,3.09,5
0083-pivik,0,1,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one_year,0,electronic_check,81.25,5567.55,2.67,8
0089-iiqko,0,0,0,1,1,39,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,credit_card_automatic,99.95,3767.4,3.28,6
0093-exyql,0,0,1,0,0,40,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,91.55,3673.6,3.01,4
0093-xwzfy,1,1,0,0,0,40,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,credit_card_automatic,104.5,4036.85,3.43,7
0094-oifmo,1,0,1,0,0,11,1,0,fiber_optic,0,1,0,0,1,1,month-to-month,1,electronic_check,95.0,1120.3,3.12,5
0096-bxers,0,0,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,50.35,314.55,1.65,3
0096-fcpuf,0,1,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month-to-month,1,mailed_check,64.5,1888.45,2.12,5
0098-bowso,0,1,0,0,0,27,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic_check,19.4,529.8,0.64,1
0100-duvfc,0,1,1,1,0,70,1,1,fiber_optic,0,1,1,0,1,1,one_year,1,electronic_check,104.8,7308.95,3.44,7
0103-csitq,0,0,0,1,0,57,1,1,fiber_optic,0,1,1,1,1,1,one_year,1,bank_transfer_automatic,109.4,6252.7,3.59,8
0104-ppxdv,0,1,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one_year,0,credit_card_automatic,50.3,2878.55,1.65,3
0106-ghrqr,0,1,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month-to-month,1,bank_transfer_automatic,71.4,1212.1,2.35,6
0106-ugrdo,0,0,0,1,0,69,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,116.0,8182.85,3.81,9
0107-weslm,1,1,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic_check,19.85,19.85,0.65,1
0107-yhina,1,1,0,0,1,1,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic_check,99.75,99.75,3.28,6
0111-klbqg,0,1,1,1,1,32,1,0,fiber_optic,0,1,0,0,1,1,month-to-month,1,mailed_check,93.95,2861.45,3.09,5
0112-qawrz,0,1,0,1,1,16,1,1,fiber_optic,0,0,1,0,1,0,month-to-month,1,bank_transfer_automatic,90.8,1442.2,2.98,5
0112-qwpnc,1,1,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one_year,0,electronic_check,84.35,4059.35,2.77,8
0114-igabw,0,0,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two_year,0,bank_transfer_automatic,58.25,4145.9,1.91,6
0114-pegzz,0,0,0,0,0,33,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,0,electronic_check,107.55,3645.5,3.53,7
0114-rsrrw,0,0,0,1,0,10,1,0,no,0,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,19.95,187.75,0.66,1
0115-tfert,1,1,0,1,0,21,1,1,fiber_optic,0,1,1,1,1,1,month-to-month,1,electronic_check,111.2,2317.1,3.65,8
0117-lfrmw,1,1,0,1,1,37,0,0,dsl,1,1,1,0,0,0,month-to-month,0,bank_transfer_automatic,40.2,1448.8,1.32,4
0118-jpnoy,0,0,1,0,0,26,1,0,fiber_optic,1,0,0,0,1,0,month-to-month,1,credit_card_automatic,85.8,2193.65,2.82,4
0121-snyrk,0,1,0,0,0,50,0,0,dsl,1,0,0,1,0,0,one_year,1,mailed_check,35.4,1748.9,1.16,3
0122-oahpz,1,0,0,0,0,7,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,73.85,511.25,2.43,3
0123-crbrt,0,0,0,1,1,61,1,1,dsl,1,1,1,1,1,1,two_year,0,mailed_check,88.1,5526.75,2.89,9
0125-lzqxk,1,1,0,0,0,15,1,0,fiber_optic,0,0,1,1,1,1,month-to-month,1,electronic_check,101.35,1553.95,3.33,6
0128-mkwsg,0,0,0,0,1,26,0,0,dsl,1,0,0,1,0,1,month-to-month,0,mailed_check,45.8,1147.0,1.5,4
0129-kptwj,0,1,0,1,0,72,1,0,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic_check,94.65,6747.35,3.11,5
0129-qmpdr,0,1,0,1,1,44,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,20.5,865.05,0.67,1
0130-sxoun,0,1,0,0,0,66,1,1,fiber_optic,0,1,0,0,0,1,month-to-month,0,credit_card_automatic,89.4,5976.9,2.94,5
0133-bmfzo,1,0,0,0,0,2,1,0,fiber_optic,1,1,0,1,0,0,month-to-month,1,electronic_check,86.25,181.65,2.83,5
0134-xwxce,0,0,1,0,0,44,1,0,dsl,0,0,1,1,1,1,one_year,0,bank_transfer_automatic,74.85,3268.05,2.46,6
0135-nmxap,1,0,0,0,0,12,1,1,fiber_optic,0,1,0,0,1,0,month-to-month,1,bank_transfer_automatic,89.75,1052.4,2.95,5
0136-ifmyd,0,1,1,1,0,69,1,1,fiber_optic,0,1,1,1,1,1,two_year,1,electronic_check,109.95,7634.25,3.61,8
0137-ocgab,1,0,0,0,0,1,1,1,fiber_optic,0,1,0,0,0,0,month-to-month,1,mailed_check,80.2,80.2,2.63,4
0137-udeuo,1,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.85,63.75,0.65,1
0139-ivfjg,0,0,0,1,0,2,1,0,fiber_optic,1,1,0,0,1,0,month-to-month,0,electronic_check,90.35,190.5,2.97,5
0141-yeays,0,0,1,0,0,27,1,1,fiber_optic,0,1,1,0,0,0,month-to-month,1,bank_transfer_automatic,86.45,2401.05,2.84,5
0142-gvysn,0,1,0,0,0,26,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic_check,20.3,511.25,0.67,1
0147-eswwr,0,0,1,1,0,39,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic_check,101.25,3949.15,3.33,6
0148-dcdos,1,1,0,0,0,25,1,1,fiber_optic,0,0,0,0,1,1,month-to-month,1,bank_transfer_automatic,94.7,2362.1,3.11,5
0151-ontov,1,0,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,mailed_check,70.9,70.9,2.33,2
0156-fvpta,1,1,0,1,0,22,1,0,dsl,1,0,0,1,0,0,month-to-month,1,electronic_check,54.2,1152.7,1.78,4
0164-apgrb,0,0,0,0,0,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,114.9,8496.7,3.77,9
0164-xairp,0,0,0,0,0,24,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,19.55,470.2,0.64,1
0168-xzkbb,0,0,0,1,0,19,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic_check,86.85,1564.4,2.85,4
0174-qrvvy,0,1,0,1,1,71,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,25.35,1847.55,0.83,2
0177-pxbat,0,1,1,1,0,33,1,1,fiber_optic,1,0,1,1,1,1,month-to-month,1,bank_transfer_automatic,109.9,3694.7,3.61,8
0178-ciikr,0,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.95,58.0,0.66,1
0178-szbho,0,1,0,1,1,47,1,1,fiber_optic,0,1,0,0,1,0,month-to-month,0,electronic_check,87.2,4017.45,2.86,5
0181-ritdd,0,1,0,1,1,62,1,0,fiber_optic,1,1,1,1,1,1,two_year,0,mailed_check,108.15,6825.65,3.55,8
0186-caerr,0,1,0,0,0,71,1,1,fiber_optic,1,1,1,1,1,1,one_year,1,bank_transfer_automatic,116.3,8309.55,3.82,9
0187-qsxoe,0,1,1,1,0,7,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,89.0,605.45,2.92,4
0187-wznab,0,0,0,1,1,27,1,0,fiber_optic,1,0,0,0,0,0,month-to-month,0,mailed_check,74.4,1972.35,2.44,3
0188-gwfle,0,1,0,0,0,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.05,33.7,0.66,1
0191-equuh,0,0,0,0,1,25,0,0,dsl,1,0,0,1,0,0,two_year,0,bank_transfer_automatic,35.05,844.45,1.15,3
0191-zhskz,0,1,1,0,0,30,1,0,dsl,1,1,0,0,1,1,month-to-month,1,electronic_check,74.75,2111.3,2.46,6
0193-eszxp,1,0,1,1,0,58,1,0,fiber_optic,1,1,0,1,1,1,one_year,1,credit_card_automatic,105.5,6205.5,3.47,7
0195-iescp,1,1,0,1,0,10,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,85.25,855.3,2.8,4
0196-jtuqi,0,0,0,0,0,9,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,credit_card_automatic,75.2,633.85,2.47,3
0196-vulgz,1,0,1,1,0,6,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,84.35,474.9,2.77,4
0197-pnknk,0,0,0,1,1,69,1,1,fiber_optic,1,0,1,0,0,0,one_year,0,bank_transfer_automatic,84.45,5848.6,2.77,5
0201-mibol,0,0,1,0,0,66,1,1,fiber_optic,1,0,0,0,1,1,two_year,1,bank_transfer_automatic,102.4,6471.85,3.36,6
0201-oamxr,1,0,0,0,0,70,1,1,fiber_optic,1,1,1,1,1,1,one_year,0,credit_card_automatic,115.55,8127.6,3.8,9
0203-hhyij,1,1,0,0,0,25,1,1,no,0,0,0,0,0,0,one_year,0,bank_transfer_automatic,25.3,676.35,0.83,2
0206-oyvoc,0,0,0,1,1,46,1,0,no,0,0,0,0,0,0,two_year,1,mailed_check,19.25,864.2,0.63,1
0206-tbwlc,0,0,0,1,0,54,1,1,fiber_optic,1,1,1,1,1,1,one_year,1,mailed_check,114.65,6049.5,3.77,9
0207-mdknv,1,0,0,0,0,15,1,0,fiber_optic,1,0,1,1,1,1,month-to-month,0,electronic_check,105.1,1582.75,3.45,7
0208-bpqej,0,0,0,1,1,12,1,0,no,0,0,0,0,0,0,month-to-month,0,bank_transfer_automatic,19.4,198.1,0.64,1
0212-isbbf,0,0,0,0,0,22,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic_check,50.35,1098.85,1.65,4
0214-jhpfw,0,0,0,1,0,70,0,0,dsl,0,1,1,1,1,1,two_year,0,bank_transfer_automatic,57.8,4039.3,1.9,6
0215-bqkgs,0,1,0,0,0,30,1,0,fiber_optic,1,1,1,0,0,0,month-to-month,1,credit_card_automatic,84.3,2438.6,2.77,5
0218-qnvas,0,1,0,1,1,71,1,1,fiber_optic,0,1,0,0,1,1,one_year,0,bank_transfer_automatic,100.55,7113.75,3.3,6
0219-qaerp,0,1,0,1,0,30,1,0,no,0,0,0,0,0,0,one_year,0,credit_card_automatic,19.8,576.65,0.65,1
0219-ytzue,1,1,0,1,1,4,1,1,fiber_optic,0,1,1,0,0,0,month-to-month,1,bank_transfer_automatic,84.8,371.9,2.79,5
0220-ebgce,1,1,0,0,0,2,1,0,fiber_optic,0,0,1,0,0,1,month-to-month,1,electronic_check,85.85,167.3,2.82,4
0221-nauxk,0,1,0,0,1,10,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,19.95,219.5,0.66,1
0221-wmxnq,0,1,1,0,0,4,1,0,fiber_optic,1,0,0,0,0,0,month-to-month,0,electronic_check,75.35,273.4,2.48,3
0222-cnvpt,0,1,1,0,0,52,0,0,dsl,1,0,0,0,1,1,month-to-month,1,credit_card_automatic,48.8,2555.05,1.6,4
0224-hjapt,1,1,0,0,0,5,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,47.15,223.15,1.55,3
0224-nijlp,0,1,0,1,1,8,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,20.15,165.5,0.66,1
0224-rlwwd,0,0,1,0,0,2,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic_check,44.3,89.3,1.46,2
0225-zorzp,0,1,0,0,0,3,1,0,fiber_optic,0,1,0,0,0,1,month-to-month,0,electronic_check,84.3,235.05,2.77,4
0228-mauwc,0,1,0,0,0,19,1,1,dsl,0,0,1,1,0,0,month-to-month,0,electronic_check,59.55,1144.6,1.96,5
0229-lfjaf,0,1,0,0,0,72,1,1,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_automatic,69.65,4908.25,2.29,7
0230-ubypq,0,1,1,1,0,63,0,0,dsl,1,0,0,1,0,0,one_year,0,bank_transfer_automatic,36.1,2298.9,1.19,3
0230-wequw,0,1,0,1,0,66,0,0,dsl,1,1,1,1,1,0,two_year,1,bank_transfer_automatic,56.6,3789.2,1.86,6
0231-lxvap,1,1,0,0,0,1,1,0,fiber_optic,0,0,0,1,0,0,month-to-month,1,electronic_check,75.9,75.9,2.49,3
0233-fthav,0,0,0,0,0,60,1,1,fiber_optic,0,0,1,0,0,0,one_year,1,bank_transfer_automatic,79.2,4765.0,2.6,4
0234-tevtt,0,0,0,1,1,48,0,0,dsl,1,0,1,0,0,1,one_year,0,credit_card_automatic,45.0,2196.3,1.48,4
0235-kgslc,1,0,0,0,0,1,1,0,fiber_optic,0,0,1,0,1,0,month-to-month,1,credit_card_automatic,85.55,85.55,2.81,4
0236-hfwsv,1,1,0,0,0,15,1,1,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,93.35,1444.65,3.07,5
0237-yfutl,0,0,0,1,0,50,1,1,fiber_optic,1,1,0,1,1,1,month-to-month,1,bank_transfer_automatic,109.65,5405.8,3.6,8
0238-whbiq,0,1,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,0,credit_card_automatic,89.7,6339.3,2.95,9
0239-oxexl,0,0,0,0,0,46,1,1,fiber_optic,1,1,0,0,0,0,month-to-month,0,mailed_check,84.25,3847.6,2.77,5
0244-lgnfy,0,0,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,0,bank_transfer_automatic,92.65,6733.0,3.04,9
0247-sluji,0,1,0,1,1,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.7,19.7,0.65,1
0248-ipdfw,0,0,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic_check,50.1,50.1,1.65,3
0248-pghbz,0,0,1,0,0,67,1,0,fiber_optic,1,1,0,1,1,0,two_year,1,bank_transfer_automatic,92.45,6140.85,3.04,6
0253-zteob,0,0,0,1,1,48,1,1,dsl,0,1,0,1,1,1,two_year,0,electronic_check,79.65,3870.3,2.62,7
0254-fnmci,0,0,0,0,0,72,1,0,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,109.9,7624.2,3.61,8
0254-kcjgt,0,1,0,1,0,52,1,1,dsl,1,1,1,1,0,1,one_year,1,credit_card_automatic,81.4,4354.45,2.67,8
0254-wwrkd,0,0,0,1,1,67,1,0,dsl,0,1,0,0,0,0,one_year,0,credit_card_automatic,50.55,3431.75,1.66,3
0256-lthvj,1,0,0,1,1,28,1,0,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,81.05,2227.1,2.66,3
0257-kxzgu,0,0,0,1,1,32,1,1,dsl,0,1,1,0,0,0,month-to-month,0,bank_transfer_automatic,62.45,2045.55,2.05,5
0257-zesqc,1,0,1,1,0,27,1,0,fiber_optic,1,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,75.2,1929.35,2.47,3
0258-nokbl,0,1,0,0,0,3,1,0,fiber_optic,0,1,1,0,0,1,month-to-month,0,electronic_check,90.4,268.45,2.97,5
0259-gbzsh,1,1,0,0,0,2,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic_check,85.65,181.5,2.81,4
0260-zdlgk,1,0,0,0,1,9,1,0,dsl,0,0,1,1,1,1,month-to-month,1,mailed_check,72.9,651.4,2.4,6
0263-fjtqo,0,1,0,1,1,50,1,1,dsl,1,0,0,1,1,0,two_year,1,credit_card_automatic,70.5,3486.65,2.32,6
0264-cnitk,0,0,0,1,1,71,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,20.1,1389.6,0.66,1
0265-edxbd,1,1,1,1,0,32,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,74.9,2303.35,2.46,3
0265-psuae,0,0,0,1,1,16,1,0,fiber_optic,1,0,1,0,1,1,month-to-month,0,bank_transfer_automatic,100.7,1522.7,3.31,6
0266-clzkz,0,0,0,1,1,67,1,1,fiber_optic,0,0,1,1,1,1,two_year,1,bank_transfer_automatic,105.65,6717.9,3.47,7
0266-gmeao,0,1,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,credit_card_automatic,114.3,8058.55,3.76,9
0268-qkiwo,1,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,electronic_check,19.75,58.85,0.65,1
0269-xfesx,0,1,0,1,1,23,1,1,no,0,0,0,0,0,0,one_year,0,mailed_check,24.35,538.5,0.8,2
0270-thenm,0,1,0,1,1,72,1,1,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_automatic,69.85,5102.35,2.29,7
0274-jkujr,0,1,0,1,1,7,0,0,dsl,1,1,1,0,1,1,month-to-month,0,mailed_check,58.85,465.7,1.93,6
0277-bksqp,0,1,0,1,1,8,1,0,dsl,0,0,0,0,1,0,month-to-month,1,electronic_check,54.4,475.1,1.79,3
0277-orxqs,0,1,0,1,1,66,0,0,dsl,0,0,0,1,1,1,two_year,0,bank_transfer_automatic,50.55,3364.55,1.66,4
0278-yxoog,1,1,0,0,0,5,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,21.05,113.85,0.69,1
0280-xjgex,1,1,0,0,0,49,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,bank_transfer_automatic,103.7,5036.3,3.41,7
0281-cntzx,0,1,0,1,0,63,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,19.95,1234.8,0.66,1
0282-nvsjs,0,0,1,1,1,12,0,0,dsl,0,0,0,1,0,0,month-to-month,1,mailed_check,29.3,355.9,0.96,2
0285-inhln,0,1,0,1,1,27,1,0,dsl,1,1,0,0,0,0,month-to-month,1,credit_card_automatic,54.75,1510.3,1.8,4
0289-ivarm,0,0,0,0,0,35,1,0,dsl,1,1,1,0,0,0,month-to-month,0,electronic_check,60.55,1982.6,1.99,5
0292-wegch,0,0,0,1,1,54,1,1,dsl,0,1,1,1,1,1,month-to-month,1,electronic_check,86.2,4524.05,2.83,8
0295-pphdo,1,1,0,0,0,1,1,1,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,95.45,95.45,3.14,5
0295-qvkpb,0,1,0,0,0,5,1,0,dsl,0,0,1,1,1,0,month-to-month,1,credit_card_automatic,63.95,318.1,2.1,5
0297-rbcsg,0,1,0,0,0,19,1,0,dsl,0,1,0,1,0,1,one_year,1,bank_transfer_automatic,65.35,1231.85,2.15,5
0298-xacet,0,1,0,1,1,52,0,0,dsl,0,1,1,1,1,0,two_year,0,mailed_check,50.2,2554.0,1.65,5
0301-fidrb,0,0,0,1,1,72,0,0,dsl,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,63.8,4684.3,2.1,7
0301-kobtq,0,1,0,0,0,32,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,20.05,614.45,0.66,1
0302-joivn,1,0,0,1,0,8,1,0,fiber_optic,0,1,1,0,1,1,month-to-month,0,electronic_check,101.15,842.9,3.32,6
0303-uncip,0,1,0,0,0,41,1,1,dsl,0,0,1,0,0,1,one_year,0,mailed_check,65.0,2531.8,2.14,5
0303-wmmrn,0,1,0,0,0,5,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed_check,19.25,86.05,0.63,1
0305-sqecb,0,0,0,0,1,11,0,0,dsl,1,0,0,1,0,0,one_year,1,mailed_check,36.05,402.6,1.18,3
0306-jaele,1,1,0,0,0,5,1,0,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic_check,96.1,453.4,3.16,5
0307-bcopk,0,0,0,0,0,16,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,19.05,326.65,0.63,1
0308-giqjt,0,1,1,0,0,71,1,1,fiber_optic,0,1,0,1,1,1,one_year,0,bank_transfer_automatic,105.75,7382.85,3.47,7
0308-ivgok,0,0,0,0,0,11,0,0,dsl,0,1,1,1,0,0,one_year,1,credit_card_automatic,40.4,422.6,1.33,4
